;; Unicode Sender
;; Type what you want to send in Unicode and press backtick (`), it will be sent.
;; C1 for characters where case is not relevant. C for characters where case is relevant.
;; ? for characters that are used inside words. No '?' syntax otherwise.
;; 1047 definitions.

;; if we type (atom`), we get (om`). How to deal with this issue?
;; Remove the '?' syntax out for things that should not be a part of a word, such as symbols.
;; Keep the '?' syntax for letters and diacritics

;; LIST
;;====================
;; GREEK LETTERS
;; ARCHAIC GREEK LETTERS
;; BRACKETS
;; COMBINING DIACRITICS (LATIN)
;; COMPUTER-KEYS SYMBOLS
;; CURRENCY SYMBOLS
;; DATE AND TIME
;; EXTRA LETTERS & LIGATURES
;; MATHEMATICAL (GEOMETRICAL)
;; MATHEMATICAL
;; ORTHOGRAPHICAL
;; ORTHOGRAPHICAL (RIGHT-TO-LEFT)
;; ROMAN NUMERALS
;; SPACING
;; ASTRONOMICAL
;; RELIGIOUS & POLITICAL
;; SYMBOLS


;; GREEK LETTERS
;;====================
*C1OZ‖ctrlkey`‖SI‖En‖{U+2388}‖helm symbol
*C1OZ‖controlkey`‖SI‖En‖{U+2388}‖helm symbol
*C1OZ‖altkey`‖SI‖En‖{U+2387}‖alternative key symbol
*C1OZ‖alternativekey`‖SI‖En‖{U+2387}‖alternative key symbol

*C1OZ‖leftarrowkey`‖SI‖En‖{U+2190}‖leftwards arrow
*C1OZ‖uparrowkey`‖SI‖En‖{U+2191}‖upwards arrow
*C1OZ‖rightarrowkey`‖SI‖En‖{U+2192}‖rightwards arrow
*C1OZ‖downarrowkey`‖SI‖En‖{U+2193}‖downwards arrow


;; CURRENCY SYMBOLS
;;====================
*C1OZ‖lira`‖SI‖En‖{U+20BA}‖turkish lira sign
*C1OZ‖turkishlira`‖SI‖En‖{U+20BA}‖turkish lira sign

*C1OZ‖manat`‖SI‖En‖{U+20BC}‖manat sign
*C1OZ‖azerbaijanimanat`‖SI‖En‖{U+20BC}‖manat sign

*C1OZ‖naira`‖SI‖En‖{U+20A6}‖naira sign
*C1OZ‖nigeriannaira`‖SI‖En‖{U+20A6}‖naira sign

*C1OZ‖kip`‖SI‖En‖{U+20AD}‖kip sign
*C1OZ‖laokip`‖SI‖En‖{U+20AD}‖kip sign

